,Brand,Color,Bluetooth,Touchscreen,WiFi,Webcam,GPU_amd,GPU_intel,GPU_mali,GPU_nvidia,OS_Windows,OS_android,OS_chrome,OS_linux,OS_windows,Storage Type_emmc,Storage Type_hdd/ssd,Storage Type_other,Storage Type_ssd,Processor Speed,Display Width,Display Height,Hard Drive Capacity,SSD Capacity,Screen Size (cm),Ram Size,Price per Screen Size,Price per Display Height,Price per Display Width
2183,lenovo,1,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4761904761904761,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.11911911911911911,0.007327285415212841,0.0116796875,0.13254445834926773,0.1840033382084912,0.18003773386206387
2184,dell,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4761904761904761,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06171874229123753,0.09466622931027706,0.09262678217208417
2185,auo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.02907960660639566,0.04509111095141455,0.045161774416372875
2186,auo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.0404844514609555,0.06385500754929792,0.06392428248183711
2187,samsung,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.04275264189421529,0.06758676289509544,0.06765576167692944
2188,dell,2,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.05905905905905906,0.007327285415212841,0.0116796875,0.11231658744889497,0.10253609175836277,0.1003269660569262
2189,dell,2,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2357142857142857,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.11911911911911911,0.00614096301465457,0.0116796875,0.10868366389715244,0.08518315406119868,0.08334816724159584
2190,lenovo,2,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2357142857142857,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.007327285415212841,0.0116796875,0.10459195326331687,0.1445995255355966,0.14148348906468997
2191,lenovo,2,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857142,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.08702843495204958,0.13462594639432454,0.1317249457757281
2192,dell,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.029029029029029027,0.00837404047452896,0.0116796875,0.055546656846947845,0.08492155198536204,0.08309220545040996
2193,lg,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.030153003769177764,0.04685712474886238,0.046927657528416544
2194,dell,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.008443824145150035,0.0116796875,0.10028979612846142,0.2539117305127328,0.2539669412065397
2195,asus,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.029814372521395318,0.046299989443715134,0.04637056345140279
2196,lg,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.03147558241617714,0.04903310603500347,0.04910347779147038
2197,acer,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.02096523519726906,0.03174088760165997,0.03181253898604255
2198,lg,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.03943022210465164,0.06212052971251879,0.06218993299679421
2199,dell,2,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06822221487347563,0.10493411078686533,0.10267328247613015
2200,auo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.022498659715529206,0.0342637644551569,0.03433522914610496
2201,dell,2,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06822221487347563,0.10493411078686533,0.10267328247613015
2202,lenovo,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.029029029029029027,0.00837404047452896,0.0116796875,0.06724876515575211,0.0678084161910482,0.06634803827699998
2203,acer,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.01435873123109827,0.020871493157844066,0.020943948879773588
2204,lenovo,2,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06994128565158317,0.07064243867927851,0.06912095768151373
2205,auo,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.02562940144031034,0.03941463803104646,0.039485721556232416
2206,dell,2,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06511546045520902,0.10002907186492825,0.09787399889139477
2207,acer,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.028728196820961047,0.04451295167248815,0.04458365792135856
2208,dell,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4761904761904761,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.11911911911911911,0.00837404047452896,0.0116796875,0.0717432032141778,0.11049315489839405,0.1081124705388302
2209,dell,2,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.16360583137743445,0.13936660760464734,0.02447861965491373,0.029029029029029027,0.00837404047452896,0.0116796875,0.0660681984768108,0.10153328380098899,0.09934577919071365
2210,asus,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.02617248929052747,0.04030815691665995,0.04037917432125451
2211,lg,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.024623091600202117,0.037759000095939105,0.03783020613869144
2212,acer,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.03000605058617783,0.04661534905040226,0.046685899721410566
2213,lg,2,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.0,0.0,0.02447861965491373,0.05053803803803804,0.004938301592579141,0.0116796875,0.028875150003960973,0.04475472737094827,0.04482541572836454
2214,hp,3,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27619047619047626,0.16360583137743445,0.18034915009966415,0.0037509377344336087,0.003003003003003003,0.006699232379623167,0.0078125,0.010873670901527842,0.009874456479724607,0.01110295167937985
2215,dell,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23809523809523808,0.19170344797959876,0.16395613310165744,0.02447861965491373,0.06306306306306306,0.00837404047452896,0.0234375,0.061760165683481076,0.08860033117681486,0.08664775082943788
2216,dell,2,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.05905905905905906,0.007327285415212841,0.0116796875,0.10865144570318525,0.09909166442651363,0.0969568024729787
2217,dell,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.12712712712712712,0.010676901605024424,0.03125,0.11611340290479302,0.1481420536458845,0.14494963832033217
2218,asus,8,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.023809523809523836,0.0,0.0,0.015253813453363343,0.015015015015015015,0.006699232379623167,0.0078125,0.017122889558960696,0.033422805503991265,0.03349433242608414
2219,samsung,4,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.023809523809523836,0.19170344797959876,0.16395613310165744,0.007751937984496125,0.007007007007007007,0.006699232379623167,0.0078125,0.024496967574731465,0.02713406218629072,0.026536079810088067
2220,acer,13,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04432719624785131,0.19170344797959876,0.16395613310165744,0.0037509377344336087,0.003003003003003003,0.006629448709002093,0.00390625,0.009710772820927296,0.008893448695337182,0.00869745424574234
2221,lenovo,2,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.37270437353307584,0.3237880488322229,0.02447861965491373,0.05905905905905906,0.00837404047452896,0.0116796875,0.06548827098540103,0.06595540148720529,0.06453497558943332
2222,lenovo,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.380952380952381,0.0,0.0,0.12778194548637162,0.12712712712712712,0.009490579204466155,0.0625,0.128807643513594,0.3619223958030699,0.3619696136842122
2223,hp,4,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35714285714285715,0.19170344797959876,0.16395613310165744,0.05976494123530883,0.05905905905905906,0.00837404047452896,0.015625,0.024479112664281655,0.03341864330502262,0.032682160886879454
2224,dell,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0622655663915979,0.05053803803803804,0.00837404047452896,0.00390625,0.007288404883206367,0.016078027136199918,0.016150837575654983
2225,dell,4,1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35714285714285715,0.37270437353307584,0.38526186257474815,0.02447861965491373,0.06306306306306306,0.009490579204466155,0.0625,0.11672582077589048,0.12023783222330907,0.13108504129776338
2226,lenovo,3,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2619047619047619,0.19170344797959876,0.16395613310165744,0.007751937984496125,0.05053803803803804,0.006699232379623167,0.0078125,0.037020401764226905,0.04249296531060622,0.041556502344100146
